seqnames,start,end,width,strand,readthrough,tss_anti.ind,tss_anti.gene_id,tss_anti.gene_name,gene_body_anti.ind,gene_body_anti.gene_id,gene_body_anti.gene_name,tss.ind,tss.gene_id,tss.gene_name,antisense.ind,antisense.gene_id,antisense.gene_name,anti_unique_id,nearest.tss.dist,antisense.type,noncode_id,lincpedia_id,Fantom_distance,Fantom_ID,Fantom_set,Fantom_biotype,Fantom_type,Fantom_trait,max.cor,cluster,Rutkowski_FoursU_mock_GSM1444171_GSM1444185 ,Rutkowski_FoursU_1hpi_GSM1444172_GSM1444186 ,Rutkowski_FoursU_2hpi_GSM1444173_GSM1444187 ,Rutkowski_FoursU_3hpi_GSM1444174_GSM1444188 ,Rutkowski_FoursU_4hpi_GSM1444175_GSM1444189 ,Rutkowski_FoursU_5hpi_GSM1444176_GSM1444190 ,Rutkowski_FoursU_6hpi_GSM1444177_GSM1444191 ,Rutkowski_FoursU_7hpi_GSM1444178_GSM1444192 ,Rutkowski_FoursU_8hpi_GSM1444179_GSM1444193 ,Rutkowski_RNAseq_mock_GSM1444166_GSM1444180 ,Rutkowski_RNAseq_2hpi_GSM1444167_GSM1444181 ,Rutkowski_RNAseq_4hpi_GSM1444168_GSM1444182 ,Rutkowski_RNAseq_6hpi_GSM1444169_GSM1444183 ,Rutkowski_RNAseq_8hpi_GSM1444170_GSM1444184 ,Breuer_VZV_mock_ERS317032_ERS317034,Breuer_VZV_120hpi_ERS317041_ERS317029,Tirosh_CMV_mock_GSM1712278,Tirosh_CMV_5hpi_GSM1712281,Tirosh_CMV_12hpi_GSM1712282,Tirosh_CMV_24hpi_GSM1712283,Tirosh_CMV_72hpi_GSM1712284,Schlackow_tss.Total.mNET_mock_GSM2357382,Schlackow_tss.TotalsiEX3.mNET_mock_GSM2241322_GSM2357383,Schlackow_tss.TotalsiLuc.mNET_mock_GSM2241321_GSM2357384,WI38-polyA-stranded_0h,WI38-polyA-stranded_4h,WI38-polyA-stranded_9h,WI38-polyA-stranded_15h,RZ-HeLa_EYFP,RZ-HeLa_EYFP-ICP4,polyA-HeLa_wtHeLa-0h,polyA-HeLa_wtHeLa-2h,polyA-HeLa_wtHeLa-4h,polyA-HeLa_wtHeLa-6h,polyA-HeLa_mut56D2-0h,polyA-HeLa_mut56D2-2h,polyA-HeLa_mut56D2-4h,polyA-HeLa_mut56D2-6h,polyA-HeLa_mut59F8-0h,polyA-HeLa_mut59F8-2h,polyA-HeLa_mut59F8-4h,polyA-HeLa_mut59F8-6h
chr5,69156268,69159653,3386,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003645,42756,None,NONHSAT202721.1,None,82460,CATG00000076207.1,lv2_permissive,nonCoding,NA,NA,NA,7,6.18,7.39,6.69,6.295,5.655,5.155,3.125,1.29,2.195,6.6,7.435,5.915,5.055,2.87,0,0,7.66,4.54,6.13,5.02,5.04,0,0,0,0.98,0.995,2.51,1.465,4.79,4.62,0,1.385,3.085,4.76,0.945,0,2.985,3.08,1.375,2.825,2.375,3.58
chr5,69484950,69490972,6023,+,FALSE,FALSE,None,None,TRUE,ENSG00000254701,RP11-1415C14.4,FALSE,None,None,FALSE,None,None,Anti003648,8272,Convergent,NONHSAT101944.2,None,142689,CATG00000076209.1,lv2_permissive,nonCoding,NA,NA,0.609937546,9,0,0,0,0.675,0,3.75,4.25,6.535,7.75,1.125,1.16,1.905,6.15,7.69,0,0,0,3.96,0,0,0,6.83,6.99,5.31,1.735,2.535,0,3.905,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0
chr5,69496079,69499799,3721,+,FALSE,FALSE,None,None,TRUE,ENSG00000254701,RP11-1415C14.4,FALSE,None,None,FALSE,None,None,Anti003649,-2855,Divergent,NONHSAT101944.2,None,153818,CATG00000076209.1,lv2_permissive,nonCoding,NA,NA,0.561142542,9,0,0,0,0,0.92,3.275,4.985,6.745,7.76,0,0,0,4.51,5.795,0,0,0,0,1.85,0,0,0,6.41,6.29,1.32,0,0,1.005,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0
chr5,70016089,70027452,11364,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003652,58045,None,NONHSAT101984.2,None,783,ENSG00000226259.6,lv3_robust,coding,pseudogene,__na,NA,7,6.91,7.485,7.03,6.8,6.035,4.64,3.465,2.65,3.125,6.755,7.8,6.17,4.235,3.005,0,0,8.79,5.09,7.15,6.65,5.23,11.18,12.67,12.11,1.07,1.87,2.425,1.945,4.83,5.02,2.485,3.06,3.32,5.395,1.15,1.6,2.91,4.13,1.2,2.05,3.15,4.035
chr5,70288178,70318851,30674,+,FALSE,FALSE,None,None,TRUE,ENSG00000249437,NAIP,FALSE,None,None,FALSE,None,None,Anti003655,-5200,Divergent,None,None,39372,CATG00000076211.1,lv2_permissive,nonCoding,NA,NA,-0.404761905,5,4.31,4.405,4.38,4.555,5.19,6.605,6.68,7.61,8.315,3.005,3.665,4.535,6.05,6.375,1.155,1.835,6.39,5.8,5.54,5.19,3.63,5.27,0,5.31,2.565,2.605,4,4.77,4.66,4.16,4.62,4.655,4.315,4.52,4.215,4.285,3.795,3.375,4.66,4.4,4.695,4.405
chr5,70393959,70396304,2346,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003656,-4938,Divergent,None,None,66407,CATG00000076211.1,lv2_permissive,nonCoding,NA,NA,NA,10,6.48,6.66,6.675,7.56,7.865,7.93,7.545,8.23,8.945,4.535,6.375,7.21,6.865,6.29,3.385,2.305,8.46,7.85,7.67,6.88,4.87,0,5.43,5.31,3.945,3.86,4.755,5.125,3.26,2.39,4.305,4.24,4.59,7.43,3.655,3.355,5.37,7.11,2.85,2.815,5.92,7.06
chr5,70417705,70422789,5085,+,FALSE,FALSE,None,None,TRUE,ENSG00000251634,RP11-1280N14.3,FALSE,None,None,FALSE,None,None,Anti003657,6874,Convergent,None,None,90153,CATG00000076211.1,lv2_permissive,nonCoding,NA,NA,-0.857142857,5,6.305,6.26,6.28,6.25,6.76,8.045,7.85,8.65,9.375,5.075,5.585,6.265,7.52,7.82,0,0,8.15,7.46,7.53,7.06,5.55,6.25,2.64,0,3.94,3.425,5.705,6.945,7.08,6.38,6.855,6.92,6.595,6.845,6.465,6.585,6.035,5.61,6.84,6.76,7.02,6.805
chr5,71146740,71149379,2640,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003659,-235828,None,None,None,13,CATG00000076219.1,lv4_stringent,nonCoding,lncRNA_sense_intronic,GWAS_DOID_9970_obesity[2.20E-06],NA,1,18.075,17.935,17.965,17.825,17.81,17.485,17.6,17.57,17.55,9.84,10.525,10.5,9.985,10.37,11.12,13.58,21.28,21.23,20.36,20.75,21.05,6.25,9.7,7.6,10.355,11.75,12.905,12.89,12.44,12.39,7,7.16,7.765,8.165,8.16,8.385,8.245,9.19,10.465,8.28,8.545,9.03
chr5,74348394,74355137,6744,+,FALSE,TRUE,ENSG00000250889,RP11-229C3.2,TRUE,ENSG00000250889,RP11-229C3.2,FALSE,None,None,FALSE,None,None,Anti003674,73,Convergent,None,None,110,CATG00000076294.1,lv3_robust,nonCoding,lncRNA_intergenic,__na,0.904761905,7,6.085,5.87,5.845,5.275,4.645,3.6,2.965,2.445,2.94,6.16,6.455,5.74,4.755,2.525,1.73,2.3,8.04,5.73,3.27,3.52,1.79,0,0,0,3.83,2.945,2.105,0,1.32,2.44,0,0,0,0,0,0,0,0,0.98,0.655,0.655,0
chr5,76035039,76039430,4392,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003681,-115779,None,NONHSAT205906.1,None,49,ENSG00000181104.6,lv2_permissive,nonCoding,coding_mRNA,PICS_PICS_0023_Platelet_counts[0],NA,6,4.1,4.27,5.68,6.245,5.325,5.79,6.225,6.895,6.7,5.45,7.37,8.155,8.185,9.175,0.915,3.32,4.72,3.26,4.22,3.92,3.83,0,0,0,1.47,3.345,2.215,1.83,4.58,4.26,3.095,4.15,3.785,2.88,0.8,1.65,0.83,3.07,3.905,3.595,2.9,3.615
chr5,77418277,77420474,2198,+,FALSE,FALSE,None,None,TRUE,ENSG00000132842,AP3B1,FALSE,None,None,FALSE,None,None,Anti003683,-6265,Divergent,None,None,8681,CATG00000076366.1,lv3_robust,nonCoding,short_ncRNA,__na,-0.098176139,5,0,1.225,0,1.625,0,0,1.19,1.59,4.42,1.315,1.345,1.315,0,0,0,0,4.72,4.18,0,4.4,2.26,0,0,5.31,3.3,2.91,0,0,0,0,0,0,0,0,1.17,0,1.205,0,0,1.235,0,0
chr5,78280573,78284831,4259,+,FALSE,FALSE,None,None,TRUE,ENSG00000113273,ARSB,FALSE,None,None,FALSE,None,None,Anti003685,1034,Convergent,None,None,4,CATG00000076377.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.928571429,4,4.14,4.835,4.705,5.09,4.245,2.46,2.03,1.6,1.945,3.52,5.455,4.035,2.625,0,1.82,2.845,5.42,5.3,4.57,5.34,3.87,9.93,11.06,10.36,3.805,2.57,2.685,0,3.92,3.67,0.855,1.725,2.36,0,0.83,1.215,1.475,0,3.035,1.685,2.7,1.815
chr5,79552098,79558465,6368,+,FALSE,TRUE,ENSG00000164300,SERINC5,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003688,-199,Divergent,None,None,47,CATG00000076401.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.642857143,8,6.285,5.795,5.945,5.75,4.735,5.145,4.59,4.05,4.285,4.605,5.79,5.26,4.365,3.35,2.995,4.59,6.08,3.15,5.34,5.86,4.17,9.4,10.325,10.27,2.97,0.685,1.085,0,4.32,3.91,4.245,5.09,3.885,2.845,3.705,3.59,2.23,2.695,4.78,4.18,3.575,3.315
chr5,81046439,81052708,6270,+,FALSE,TRUE,ENSG00000145687,SSBP2,TRUE,ENSG00000145687,SSBP2,FALSE,None,None,FALSE,None,None,Anti003693,136,Convergent,None,None,848,CATG00000076429.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.285714286,2,3.085,2.31,3.205,4.675,4.01,3.06,2.745,2.67,2.925,1.86,2.915,2.785,1.465,2.55,3.64,2.615,2.66,0,0,0,1.87,8.04,8.98,7.28,0,0,0.735,1.48,2.07,0,0,0.68,0,0,0,1.32,0,0,0.675,0.685,0,0.715
chr5,87564877,87621446,56570,+,FALSE,TRUE,ENSG00000164180,TMEM161B,TRUE,ENSG00000164180,TMEM161B,FALSE,None,None,TRUE,ENSG00000247828,TMEM161B-AS1,Anti003700,-202,Divergent,NONHSAT202862.1,lnc-RASA1-3,35,ENSG00000247828.3,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_2462_retinal_vascular_disease[7.00E-16],-0.380952381,1,6.19,6.275,6.11,6.235,6.2,6.2,5.695,6.305,6.625,5.795,7.06,6.8,6.615,6.32,4.48,3.685,7.57,6.37,6.5,6.26,5.74,7.56,8.465,8.08,2.745,2.335,1.66,1.55,5.77,5.73,5.005,4.615,4.425,4.34,4.125,4.09,3.69,3.175,4.16,4.455,4.63,3.945
chr5,88271370,88273525,2156,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000248309,MEF2C-AS1,Anti003701,-71447,None,NONHSAT202870.1,None,4047,CATG00000076594.1,lv1_raw,nonCoding,NA,NA,NA,9,0,1.235,1.225,0,3.33,2.82,2.395,3.49,3.755,4.275,2.695,2.405,4.42,5.3,1.27,3.53,5.41,5.89,6,6.7,8.16,0,0,0,1.23,2.94,3.065,4.47,5.42,3.89,0,1.24,1.24,1.325,1.185,1.21,1.22,1.3,0,0,0,0
chr5,90676248,90772198,95951,+,FALSE,TRUE,ENSG00000113369,ARRDC3,TRUE,ENSG00000113369,ARRDC3,FALSE,None,None,FALSE,None,None,Anti003704,-279,Divergent,NONHSAT202885.1,lnc-GPR98-10,24,CATG00000076629.1,lv4_stringent,nonCoding,uncertain_coding,GWAS_DOID_0050742_nicotine_dependence[6.00E-06],-0.238095238,1,3.89,4.01,3.785,3.935,3.4,3.32,2.89,4.05,5.215,3.47,4.405,3.64,3.77,4.815,2.98,2.995,5.15,4.25,4.03,4.41,4.15,12.16,12.27,12.11,1.545,1.65,1.325,1.66,2.59,2.77,1.38,1.68,1.225,1.275,0.675,1.115,0.57,0.265,1.275,1.35,1.35,0.635
chr5,95297733,95385818,88086,+,FALSE,TRUE,ENSG00000118985,ELL2,TRUE,ENSG00000118985,ELL2,FALSE,None,None,TRUE,ENSG00000251314,CTD-2337A12.1,Anti003707,41,Convergent,NONHSAT102879.2,lnc-CAST-4,27,ENSG00000251314.2,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_HP_0000855_Insulin_resistance[1.00E-26],-0.047619048,10,3.185,3.15,2.975,2.965,3.04,2.945,2.94,3.96,5.25,3.35,4.035,3.445,4.205,5.04,0.845,0.66,4.47,2.28,1.63,1.64,1.38,0,0,0,0,0,0.085,0,1.99,1.85,0.215,0.475,0.075,0.45,0.07,0.14,0.075,0.555,0.29,0.075,0.08,0.315
chr5,107717554,107731228,13675,+,FALSE,TRUE,ENSG00000145743,FBXL17,TRUE,ENSG00000145743,FBXL17,FALSE,None,None,FALSE,None,None,Anti003715,244,Convergent,None,None,293,CATG00000076960.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_HP_0001637_Abnormality_of_the_myocardium[2.68E-06],0.880952381,8,5.66,6.07,5.585,5.21,3.82,2.995,2.415,2.32,3.655,5.005,6.17,4.39,3.08,4.29,0.43,2.29,7.45,4.34,3.78,4.97,3.9,14.13,15.9,14.7,2.065,1.245,0.43,1.135,2.93,3.05,2.17,2.31,1.475,0,1.855,1.985,0.63,0,2.765,2.315,1.23,1.67
chr5,108601122,108659062,57941,+,FALSE,FALSE,None,None,TRUE,ENSG00000249476,CTD-2587M2.1,FALSE,None,None,FALSE,None,None,Anti003717,60947,Internal,None,None,25862,CATG00000076974.1,lv1_raw,nonCoding,NA,NA,0.610789394,9,0,0,0,0.2,0.11,2.215,3.685,5.155,6.68,0.245,0.13,0.58,2.535,4.035,1.08,1.765,1.73,1.06,0,0.38,0.36,0,0,0,0.22,0.495,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr5,113520963,113525138,4176,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003727,-696435,None,NONHSAT203067.1,None,225,CATG00000077066.1,lv2_permissive,nonCoding,NA,NA,NA,7,4.79,4.985,5.03,4.24,2.975,2.055,1.46,1.17,1.595,4.825,5.325,4.055,2.845,3.49,0,0,1.88,0,0,0,0,5.27,2.79,5.31,0,0,0,0,2.54,1.76,0,1.26,0,0,0,0,0,0,0,0,0,0
chr5,114746069,114750241,4173,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003729,-18001,None,None,None,5007,CATG00000077089.1,lv2_permissive,nonCoding,NA,NA,NA,10,0.9,0,0.865,2.325,0.855,1.68,0,2.24,2.545,0,0,0,0.94,1.3,0,1.22,4.09,2.81,1.73,2.39,0,5.27,0,5.31,0,1.27,0.935,0,1.77,1.76,2.53,1.835,0.875,0.95,2.91,0,0,0,0.87,0.88,2.39,0
chr5,128507939,128664368,156430,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003749,224900,None,None,None,960,CATG00000077475.1,lv2_permissive,nonCoding,NA,NA,NA,5,0.36,0.465,0.415,0.865,1.265,2.23,2.575,3.925,4.765,0.51,0.86,1.3,2.96,3.88,0.09,0.08,2.79,2.39,2.2,1.76,0.76,0,0,0,0.17,0.17,0.1,0.095,0.82,1.18,0.315,0.125,0.355,0.1,0.33,0.285,0.085,0.095,0.125,0.25,0.13,0.175
chr5,131132967,131146165,13199,+,FALSE,TRUE,ENSG00000217128:ENSG00000273217,FNIP1:CTC-432M15.3,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003755,-256,Divergent,NONHSAT203204.1,None,10,CATG00000077537.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_8778_Crohn_s_disease[5.83E-06],NA,3,1.27,2.345,3.34,4.73,5.28,5.57,5.23,5.52,5.965,2.705,4.37,6.71,6.395,5.775,0.865,1.45,2.96,1.95,1.68,2.12,2.25,0,3.57,5.31,0,0.41,2.21,2.96,2.02,3.22,0.39,1.06,0.405,1.525,0,0,0.39,0.435,0.4,0.665,1.065,1.595
chr5,131563674,131568114,4441,+,FALSE,TRUE,ENSG00000072682,P4HA2,TRUE,ENSG00000072682,P4HA2,FALSE,None,None,FALSE,None,None,Anti003756,100,Convergent,None,None,9394,CATG00000077548.1,lv2_permissive,nonCoding,NA,NA,0.761904762,4,4.455,4.065,5.175,5.365,3.99,4.215,3.4,2.35,2.505,3.53,4.465,4.195,3.45,3.68,0,0,2.59,0,2.43,1.58,1.52,5.27,5.92,6.29,0,0.855,0,0,2.46,0,0.825,0,0.84,0,0,0.82,0.825,0.885,0,0.845,0,0
chr5,131826840,131891710,64871,+,FALSE,TRUE,ENSG00000125347,IRF1,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003758,-349,Divergent,None,None,132,CATG00000077557.1,lv4_stringent,nonCoding,lncRNA_divergent,PICS_PICS_0023_Platelet_counts[0],-0.285714286,10,3.275,3.135,3.015,3.435,3.275,3.71,3.825,4.59,5.455,2.73,3.085,3.42,3.525,4.03,0.94,0.585,4.56,4.82,2.98,2.27,1.41,8.04,9.345,8.27,0.805,0.88,0.45,0.43,2.81,2.96,1.615,1.955,1.74,1.27,1.93,1.935,1.16,0.66,1.365,1.565,1.715,1.115
chr5,133340579,133340837,259,+,FALSE,TRUE,ENSG00000213585,VDAC1,TRUE,ENSG00000213585,VDAC1,TRUE,ENSG00000271737,CTB-113I20.2,FALSE,None,None,Anti003762,-45,Divergent,None,None,18,ENSG00000271737.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.452380952,2,3.425,5.32,6.045,6,0,2.615,5.68,2.535,5.075,3.525,6.32,6,2.71,0,6.69,2.6,8.02,7.61,6.83,8.27,9,10.48,10.4,10.4,6.745,6.1,0,0,7.61,6.28,2.615,2.645,0,2.745,0,0,2.62,0,6.12,2.65,0,3.2
chr5,133561216,133562100,885,+,FALSE,TRUE,ENSG00000113575:ENSG00000272772,PPP2CA:CTD-2410N18.5,TRUE,ENSG00000006837:ENSG00000113575:ENSG00000272772:ENSG00000273345,CDKL3:PPP2CA:CTD-2410N18.5:CTD-2410N18.4,TRUE,ENSG00000266751:ENSG00000270177,MIR3661:CTD-2410N18.3,FALSE,None,None,Anti003764,28,Convergent,None,None,76,ENSG00000266751.1,lv3_robust,coding,small_RNA,__na,NA,4,5.06,4.86,5.28,4.005,3.555,4.93,2.5,2.195,4.325,4.765,3.84,5.685,4.22,1.85,10.405,10.645,0,4.88,7.17,6.8,5.27,12.29,12.85,12.49,7.965,8.11,6.96,3.78,5.54,3.62,4.03,4.075,4.075,1.895,3.49,4.755,0,2.345,5.855,3.61,2.27,4.94
chr5,134734987,134740149,5163,+,FALSE,TRUE,ENSG00000113648,H2AFY,TRUE,ENSG00000113648,H2AFY,FALSE,None,None,TRUE,ENSG00000270021,CTC-203F4.2,Anti003774,-58,Divergent,NONHSAT103907.2,lnc-CTC-203F4.1.1-3,9,ENSG00000270021.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.785714286,4,4.42,4.3,4.23,5.31,4.69,4.01,3.16,3.205,2.505,3.6,3.875,4.07,1.435,1.43,3.375,3.17,5.72,3.72,4.56,4.99,3.79,8.23,9.58,8.08,1.365,0.78,0,0.835,2.29,0,2.47,1.905,3.645,4.025,1.815,2.865,3.665,2.25,2.19,2.28,3.265,3.365
chr5,137089176,137097234,8059,+,FALSE,TRUE,ENSG00000177733,HNRNPA0,TRUE,ENSG00000177733,HNRNPA0,FALSE,None,None,FALSE,None,None,Anti003777,862,Convergent,None,None,1339,CATG00000077705.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_0050650_familial_atrial_fibrillation[3.00E-07],-0.547619048,10,4.445,3.915,4.065,5.66,5.71,5.21,4.92,5.05,5.72,2.485,3.85,5.075,5.12,4.91,8.055,8.975,4.35,3.37,5.07,4.3,3.62,12.51,12.855,13.25,8.335,8.37,7.385,5.355,3.61,3.6,2.19,3.39,2.81,3.865,2.805,2.68,2.905,4.215,4,2.4,3.055,3.775
chr5,137368574,137374887,6314,+,FALSE,TRUE,ENSG00000031003,FAM13B,TRUE,ENSG00000031003,FAM13B,FALSE,None,None,TRUE,ENSG00000246323,RP11-325L7.1,Anti003779,42,Convergent,NONHSAT203273.1,lnc-WNT8A-2,116,ENSG00000246323.2,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_0050650_familial_atrial_fibrillation[3.00E-07],0.952380952,8,5.585,5.495,5.15,4.73,4.075,3.55,3.025,3.7,4.035,3.725,4.63,4.605,3.67,3.505,1.435,2.635,4.87,2.32,3.35,4.46,3.53,14.32,15.395,14.76,2.54,2.27,2.415,1.48,5.17,4.32,4.735,4.825,4.135,3.665,4.485,4.44,4,3.845,3.495,4.34,4.105,3.555
chr5,138862538,138865018,2481,+,FALSE,TRUE,ENSG00000184584,TMEM173,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003789,-17,Divergent,None,None,522,CATG00000077738.1,lv1_raw,nonCoding,NA,NA,0,6,0,2.345,3.595,4.57,1.13,1.515,2.145,3.26,3.69,1.24,4.865,4.72,4.795,4.825,0,3.92,3.32,3.48,2.3,3.55,4.61,0,0,0,0,1.17,0,0,4.1,2.33,1.145,2.315,1.155,0,1.52,1.55,1.56,1.205,1.205,1.16,0,1.21
chr5,141228664,141233101,4438,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003800,17102,None,NONHSAT104278.2,lnc-KIAA0141-1,64,CATG00000077806.1,lv3_robust,nonCoding,lncRNA_divergent,__na,NA,2,4.08,4.345,4.805,5.57,4.34,4.415,3.25,3.425,3.055,3.97,5.905,5.895,4.46,3.225,6.045,7.715,1.81,1.94,3.29,1.58,1.52,12.17,13.06,12.83,2.05,2.665,2.2,0,3.33,4.24,0.825,0.845,0,0,0,0,0,0,2.105,0,1.695,2.16
chr5,141705130,141760468,55339,+,FALSE,TRUE,ENSG00000187678,SPRY4,TRUE,ENSG00000187678,SPRY4,FALSE,None,None,TRUE,ENSG00000231185,AC005592.2,Anti003804,-524,Divergent,NONHSAT203346.1,None,270,ENSG00000231185.2,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_5557_testicular_germ_cell_cancer[4.97E-08],0.880952381,4,5.39,5.7,5.215,5.15,4.595,4.215,3.5,3.8,3.975,4.555,5.235,4.335,3.41,3.465,1.805,2.31,5.73,2.69,2.87,4.85,2.84,5.27,0,0,1.965,2.15,1.265,1.01,0,0.44,0.725,0.845,0.835,0.135,0.72,1.175,0.515,0.57,0.35,0.835,0.535,0.54
chr5,149808472,149810990,2519,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003814,-15979,None,NONHSAT203416.1,None,14139,CATG00000078043.1,lv2_permissive,nonCoding,lncRNA_divergent,__na,NA,10,2.755,1.605,1.14,0,1.125,4.345,3.315,4.03,5.235,0,1.24,1.245,1.205,0,4.36,4.675,0,2.58,2.28,0,0,8.55,8.065,6.29,3.585,3.17,2.265,1.225,0,0,0,0,1.15,0,1.525,0,0,0,0,0,0,0
chr5,149829341,149865380,36040,+,FALSE,TRUE,ENSG00000164587,RPS14,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003815,-21,Divergent,None,None,16,CATG00000078047.1,lv4_stringent,nonCoding,lncRNA_divergent,GWAS_DOID_9970_obesity[8.00E-06],-0.952380952,5,1.595,1.325,1.29,1.835,1.815,2.85,2.93,3.91,4.725,1.17,2.01,2.205,2.445,2.565,1.685,2.19,3.08,1.78,1.99,3.11,1.51,9.69,10.09,10.18,1.125,1.07,0.67,0.7,0.35,0.35,0.59,0.35,0,0.2,0.295,0,0,0,0.825,0.63,0.175,0.19
chr5,150460266,150465200,4935,+,FALSE,TRUE,ENSG00000145901,TNIP1,TRUE,ENSG00000145901,TNIP1,FALSE,None,None,FALSE,None,None,Anti003817,309,Convergent,None,None,2957,CATG00000078084.1,lv2_permissive,nonCoding,NA,NA,-0.419169192,1,5.365,4.9,4.02,4.02,4.125,4.4,4.36,5.05,5.48,3.905,4.55,4.36,4.62,3.88,4.315,4.995,3.62,1.83,1.57,2.2,3.85,12.16,14.02,13.18,3.095,4.42,3.845,3.485,3.93,4.54,0.775,1.165,2.74,1.245,0.76,1.135,1.14,1.455,0.785,1.165,0.8,0
chr5,151076392,151079372,2981,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000249035,CTB-113P19.1,Anti003820,-9665,Divergent,NONHSAT203428.1,None,157,CATG00000078112.1,lv2_permissive,nonCoding,NA,NA,NA,4,4.805,5.41,5.13,5.075,4.165,1.85,2.84,2.365,3.775,3.545,5.375,5.28,4.89,4.09,1.085,1.015,4.3,2.38,2.09,2.8,1.92,0,2.79,0,0,1.065,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr5,158636651,158654722,18072,+,FALSE,TRUE,ENSG00000145860,RNF145,TRUE,ENSG00000145860,RNF145,FALSE,None,None,TRUE,ENSG00000253256,CTB-11I22.1,Anti003830,-91,Divergent,None,None,0,ENSG00000253256.1,lv3_robust,nonCoding,lncRNA_divergent,GWAS_HP_0011869_Abnormal_platelet_function[4.00E-08],-0.928571429,5,1.695,2.08,1.73,1.86,2.455,3.27,3.06,4.07,5.055,0.71,1.93,2.805,2.725,3.88,0.33,1.215,1.79,0.76,0.62,1.57,1.25,10.72,11.265,11.55,0.62,0.54,0.58,0.585,3.22,1.91,2.085,2.18,1.48,1.025,1.73,2.505,0.61,0.565,2.16,1.53,1.49,1.215
chr5,171433992,171442823,8832,+,FALSE,TRUE,ENSG00000072803,FBXW11,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti003844,-114,Divergent,None,None,48,CATG00000078672.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,0.333333333,1,4.31,4.38,4.705,4.34,4.41,4.58,4.005,4.29,4.445,3.57,5.235,4.905,5.25,4.49,0.875,3.085,2.87,3.25,3.45,4.33,3.09,8.4,7.31,7.6,0,0,1.495,0.915,4.26,3.86,0.535,1.225,0.545,0.92,2.19,2.015,1.06,2.395,1.945,0.85,0.845,1.145
chr5,171614418,171619661,5244,+,FALSE,TRUE,ENSG00000072786,STK10,TRUE,ENSG00000072786,STK10,FALSE,None,None,FALSE,None,None,Anti003845,971,Convergent,None,None,9,ENSG00000214360.4,lv3_robust,coding,coding_mRNA,__na,-0.333333333,6,1.92,2.525,3.575,4.01,3.415,4.535,3.51,2.745,3.04,0.83,2.325,3.835,3.065,2.545,3.725,5.505,3.78,3.03,3.36,3.48,2.06,10.48,10.55,11,2.655,3.66,3.525,4.375,1.54,2.74,2.095,1.125,2.815,3.09,2.035,2.43,2.45,3.49,1.6,2.5,2.825,2.77
